,호텔이름,평점,후기
0,소노캄 여수(구 엠블호텔 여수),4.0,"침구상태가 매우 불량했으며(얼룩이 있었음) 불편사항 신고를 하려 했으나 모처럼의 휴가에 본인이 불편하여 신고하지 않았음(2020년 8월24일 805호숙박) 가격에 비하여 가성비는 실망수준이었음 무엇보다 치약,치솔도 준비되어 있지 않고 구매목록에 있음"
1,소노캄 여수(구 엠블호텔 여수),10.0,5성급 호텔에 걸 맞는 청결도와 서비스를 받았습니다.
2,소노캄 여수(구 엠블호텔 여수),8.0,여수에서는 제일 유명한 호텔이래요. 호텔 stay 가 필요하다면 소노캄 여수도 괜찮은거같아요. View도 바다가 보여서 괜찮구요. 다만 여수에는 더 좋은 view가 있는 숙소가 많은 것 같아요.
3,소노캄 여수(구 엠블호텔 여수),10.0,"만족합니다. 직원들이 인사를 잘 해주셔서 기분좋았습니다. 서비스 만족! 다만, 체크인 시간이 지나서 방문했음에도 아직 청소중이라 10분정도 더 기다려야했습니다."
4,소노캄 여수(구 엠블호텔 여수),10.0,깔끔하고 위치좋고 만족스러워요. 가격이 상대적으로 조금 쎄지만 다 이유가 있네요.
5,소노캄 여수(구 엠블호텔 여수),8.0,가성비는 떨어지지만 문안함 체크인할때 차량등록 안내 안해줘서 노어이 나머지 서비스는 괜찮았음
6,소노캄 여수(구 엠블호텔 여수),10.0,가족여행으로 갔는데 여러모로 만족하고 돌아왔어요 또 가고 싶어요
7,소노캄 여수(구 엠블호텔 여수),6.0,"깨끗하고 서비스는 괜찮은데 방음이 잘 안되요. 주변 방 소음이있고, 바로 앞에 항구가 있어서 배가 드나들면서나는 소리들이 계속 들려요.."
8,소노캄 여수(구 엠블호텔 여수),8.0,전체적으로 괜찮았고 편안하게 놀다가 갑니다
9,소노캄 여수(구 엠블호텔 여수),10.0,"너무 청결해서 좋았고, 코로나 대비도 적절하게 잘 하는거 같아서 마음편했고, 우선 모든분들이 친철하게 대해 주셔서 즐거운 여행이 될수 있었습니다."
10,소노캄 여수(구 엠블호텔 여수),10.0,객실이 조금 좁은 느낌이 듭니다. 조식은 만족스럽습니다.
11,소노캄 여수(구 엠블호텔 여수),10.0,
12,소노캄 여수(구 엠블호텔 여수),8.0,깨끗하고 만족스러웠어요
13,소노캄 여수(구 엠블호텔 여수),10.0,친철하고 너무 좋았습니다. 잘쉬다 왔습니다. 감사합니다.
14,소노캄 여수(구 엠블호텔 여수),10.0,"오션뷰도 훌륭했고 룸 청결 상태, 공기 쾌적도, 냉난방, 조식 등 모든 부분이 흠잡을 데 없엇습니다!! 재방문 의사 100000퍼에요"
15,소노캄 여수(구 엠블호텔 여수),8.0,"일찍 도착해서 얼리 체크인 요청했는데 가능하다고 답변 주시면서, 층 낮은 데 얼리 체크인할 수 있고, 아니면 정시 체크인하면 높은 층 배정해주실 수 있다고 옵션을 주셨어요. 방에서의 뷰는 만족스러웠으나, 방에서 약간 퀴퀴한 냄새가 났던 건 사실이에요. 가격대비 만족합니다!"
16,소노캄 여수(구 엠블호텔 여수),4.0,다른 곳과 비교해 가성비가 떨어지네요 조식도 그렇고 서비스 상태도 별로입니다 조금 더 신경써주세요
17,소노캄 여수(구 엠블호텔 여수),10.0,"방이 깨끗하고, 경치도 우수하였습니다. 서비스가 친절하였습니다."
18,소노캄 여수(구 엠블호텔 여수),10.0,"가족 4명이 지내기에 조금도 부족함이 없습니다. 넓은 실내와 안락한 침대와 침구류도 만족 스럽고, 특히 룸 바닥이 나무마루 형태라 먼지가 날리지 않아 좋았습니다. 조식은 1층에서 먹었는데 한식 아메리칸식 유럽식 중국식 다양하게 준비되어 있었고 맛 또한 훌륭했습니다.가족들이 다 만족 했네요."
19,소노캄 여수(구 엠블호텔 여수),10.0,"친절하고, 깨끗하고, 편안한 숙박이었습니다. 여수 시내에서 2번 버스를 이요하면 호텔 앞까지 이동이 편리합니다. 재방문 의사 있습니다."
20,소노캄 여수(구 엠블호텔 여수),6.0,부대시설이 너무 없었음
21,소노캄 여수(구 엠블호텔 여수),10.0,여행의 여유로움을 느끼게해준 호텔이네요 여수여행의 가볼거리가 몰려있는데다 잠깐의 깔끔한 번개여행 추천입니다
22,소노캄 여수(구 엠블호텔 여수),10.0,깨끗하고 친절하고 좋습니다
23,소노캄 여수(구 엠블호텔 여수),10.0,최고였어요 위치도 룸컨디션도!
24,소노캄 여수(구 엠블호텔 여수),10.0,다음에 또오고싶어요
25,소노캄 여수(구 엠블호텔 여수),6.0,음.. 새로 리모델링? 한걸로 아는데 이름까지 바뀌고 근데 내부는 그냥 오래된호텔 그자체던데요..? 나름 5성급이라 기대했는데 화장실 변기와 욕조는 청소를 하다만것같았어요 디너로 저녁 뷔페까지 먹어봤지만 실망 그자체네요.. 그가격으로 사먹기엔 너무 아까웠습니다 다음에 재방문의사는 그닥없을거같아요 딱 좋았던점은 뷰가 그나마 좋았고 위치는 일정을 짜기에 좋네요..
26,소노캄 여수(구 엠블호텔 여수),10.0,"작년에 다녀 온 후 너무 괜찮아서 부모님 모시고 다시 다녀왔습니다. 깨끗하고, 조용하고 만족스러웠습니다. 다만, 체크인시 시간이 너무 걸려 불편했습니다. 가족끼리 오붓하게 즐기다 왔습니다."
27,소노캄 여수(구 엠블호텔 여수),10.0,전에 엠블호텔일때 방문하고 너무 좋아서 이번 부모님 여행때 숙소로 잡아드리려고 알아보니 이름이 바뀌었네요ㅎㅎ 위치도 좋고 뷰도 너무 좋아요~
28,소노캄 여수(구 엠블호텔 여수),10.0,깨끗하고 고급스러운 숙박시설
29,소노캄 여수(구 엠블호텔 여수),10.0,깨끗하고 명소들과 가까워서 좋았습니다.
30,소노캄 여수(구 엠블호텔 여수),8.0,전반적으로 깨끗하고 조용하고 아늑했습니다. 직원들의 친절도는 대 만족이었습니다.
31,소노캄 여수(구 엠블호텔 여수),10.0,바닷가 풍경과 오동도를 가깝게 위치하고 있습니다.
32,소노캄 여수(구 엠블호텔 여수),6.0,"바다전망 프리미엄 객실예약하였으나, 늦은 오후 체크인과정에서 저층 항구 전망 객실로 배정하여 다소 실망. 객실은 큰 방으로 배정되었으나, 실제 기대했던 바다 전망은 완전 실망."
33,소노캄 여수(구 엠블호텔 여수),10.0,숙소 상태도 좋았고 조식도 맛있었어요 전체적으로 만족합니다
34,소노캄 여수(구 엠블호텔 여수),10.0,"숙소 위치 상태 모두 완벽했습니다. 다만 뷰가 가격대비 조금 아쉬웠고, 히터 바람이 침대에서 얼굴로 와서 잘때 좀 건조했다는 정도가 단점인거 같습니다. 그래도 욕실도 넓고 쾌적하고 거실도 좋고 전반적으로 매우 만족스러웠습니다."
35,소노캄 여수(구 엠블호텔 여수),8.0,대부분 마음에 들었는데 가구나 커튼 상태가 좀 안좋았어요(가구 모퉁이 부분이 부서져 있는 부분이 있었고 커튼은 찢어진 곳이 있었어요)
