,호텔이름,평점,후기
0,라마다 전주,8.0,깨끗한편인데 좁아요
1,라마다 전주,10.0,전반적으로 호텔은 훌륭했어요. 객실도 청결하고 편안한 분위기였습니다.
2,라마다 전주,6.0,깨끗했어요
3,라마다 전주,8.0,조식 종류는 다양하나 먹을게 없었음. 화장실 변기 물이 잘 안내려감. 비데 버튼이나 변기에 있는 버튼이나 뭘 눌러도 물이.... 샤워하다보면 화장실 바깥으로 물이 다 새어나가 불편함. 침대는 그런대로 괜찮아요.
4,라마다 전주,8.0,"체크인 청소가 덜끝난방으로 배정해주셔서 다시 프론트로 가는일이 있었지만, 전체적으로 직원들 응대나 룸컨디션은 무난무난 비지니스호텔 다웠습니다. 잘쉬다 갑니다 :)"
5,라마다 전주,10.0,110% 만족합니다.
6,라마다 전주,10.0,깔끔해요. 전주 영화거리 접근성 굿!! 조식도 괜찮았어요.
7,라마다 전주,6.0,"깨끗한 편이었는데 욕실에서 냄새가 좀 났어요 티슈, 비누 받침이 구비 되어 있지 않아서 요청드려 새로 받았구요 프론트에서는 아주 친절하시고 좋았습니다."
8,라마다 전주,8.0,출장뿐만 아니라 가족여행 시 이용하려해요!
9,라마다 전주,10.0,"전날 급하게 예약을 한거라서 객실있는곳 중에 젤 깔끔한곳으로 간건데 방도 그렇게 좁지 않았고 깨끗했습니다. 층수 높은곳으로 주셔서 바깐 풍경도 좋았고 전체적으로 호텔 서비스며 인상도 깔끔하고, 특히 루프탑이 좋았습니다. 맥주도 너무 맛있고 분위기도 좋았어요. 위치도 한옥마을 근처였어서 이동하기도 편했습니다. 주차는 조금 불편하긴 했습니다. 지하주차장이 좀 협소하더라구요. 전체적으로 아주 만족스러운 숙소였습니다. 전주 2번째 간건데 다음에 갈때도 또 묵고 싶어요 ㅎ"
10,라마다 전주,4.0,방안에 모기로 잠 설침 팔에 4군데 물림
11,라마다 전주,6.0,습하고 꿉꿉한 냄새가 나요. 전주에 묶기에는 그래도 여기보다 좋은곳은 없는느낌..
12,라마다 전주,8.0,가성비 대비 나쁘지 않았음
